Tutorial Group,Group Number,Student ID,School,Name,Gender,CGPA
G-1,1,2353,SBS,Karen Wong,Female,3.95
G-1,1,2091,EEE,Adlan Bin Rahman,Male,4.2
G-1,1,592,MSE,Zara Chang,Female,4.11
G-1,1,1645,CoE,Zachary Wu,Male,3.93
G-1,1,2069,SSS,Kathy Lau,Female,4.48
G-1,2,2326,CoB (NBS),Vivi Dwi,Female,3.95
G-1,2,3989,WKW SCI,Anthony Liu,Male,4.15
G-1,2,4479,CCDS,Amelia Kim,Female,4.11
G-1,2,3148,EEE,Gabriel Young,Male,3.88
G-1,2,4338,SPMS,Sana Jain,Female,4.22
G-1,3,4563,WKW SCI,Anjali Patel,Female,4.01
G-1,3,2776,CCEB,Siddharth Nair,Male,4.14
G-1,3,5703,SPMS,Karen Lee,Female,4.12
G-1,3,4657,SoH,Oleg Petrovich,Male,4.0
G-1,3,809,CoB (NBS),Nisha Das,Female,4.26
G-1,4,2151,EEE,Mei Hong,Female,4.02
G-1,4,1841,MAE,Jett Morales,Male,4.12
G-1,4,1271,SSS,Priya Singh,Female,4.17
G-1,4,288,CoB (NBS),Ajay Verma,Male,4.01
G-1,4,4820,CoE,Meera Singh,Female,4.22
G-1,5,2115,EEE,Anya Kumar,Female,4.03
G-1,5,1417,CoE,Darren Lee,Male,4.12
G-1,5,945,MAE,Han Li,Female,4.1
G-1,5,5002,CCDS,Aarav Singh,Male,4.02
G-1,5,659,SSS,Maria Ivanovna,Female,4.2
G-1,6,567,CoB (NBS),Isabella Thompson,Female,4.03
G-1,6,4520,EEE,Henry Foster,Male,4.11
G-1,6,2650,SoH,Nurul Shafika,Female,4.09
G-1,6,588,MAE,Lucas Walker,Male,4.06
G-1,6,4402,CCDS,Grace Turner,Female,4.08
G-1,7,75,CCDS,Sakina Ahmed,Female,4.03
G-1,7,5477,SoH,Vikram Desai,Male,4.09
G-1,7,3930,EEE,Xun Wei,Female,4.18
G-1,7,1075,CoB (NBS),Felix Yip,Male,4.08
G-1,7,162,SSS,Lila Patel,Female,4.07
G-1,8,5119,ADM,Nhung Vu,Female,4.04
